级别,日期和时间,来源,事件 ID,任务类别
信息,2015/6/10 14:41:15,Service Control Manager,7036,无,Network Location Awareness 服务处于 正在运行 状态。
信息,2015/6/10 14:41:16,Service Control Manager,7036,无,Server 服务处于 正在运行 状态。
信息,2015/6/10 14:41:16,Service Control Manager,7036,无,IP Helper 服务处于 正在运行 状态。
信息,2015/6/10 14:41:14,Service Control Manager,7036,无,Remote Registry 服务处于 正在运行 状态。
信息,2015/6/10 14:41:14,Service Control Manager,7036,无,Cryptographic Services 服务处于 正在运行 状态。
信息,2015/6/10 14:41:15,Service Control Manager,7036,无,Windows Management Instrumentation 服务处于 正在运行 状态。
信息,2015/6/10 14:41:15,Service Control Manager,7036,无,Distributed Link Tracking Client 服务处于 正在运行 状态。
信息,2015/6/10 14:41:17,Service Control Manager,7036,无,IPsec Policy Agent 服务处于 正在运行 状态。
信息,2015/6/10 14:41:17,Service Control Manager,7036,无,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。
信息,2015/6/10 14:41:17,Service Control Manager,7036,无,Certificate Propagation 服务处于 正在运行 状态。
信息,2015/6/10 14:41:17,Service Control Manager,7036,无,Remote Desktop Services UserMode Port Redirector 服务处于 正在运行 状态。
信息,2015/6/10 14:41:16,Service Control Manager,7036,无,Network List Service 服务处于 正在运行 状态。
信息,2015/6/10 14:41:16,Service Control Manager,7036,无,Portable Device Enumerator Service 服务处于 正在运行 状态。
信息,2015/6/10 14:41:16,Service Control Manager,7036,无,Remote Desktop Services 服务处于 正在运行 状态。
信息,2015/6/10 14:41:16,Microsoft-Windows-Iphlpsvc,4200,无,地址为 2002:54ef:3134::54ef:3134 的 6to4 接口 6TO4 Adapter 已出现。
信息,2015/6/10 14:41:13,Microsoft-Windows-DHCPv6-Client,51046,服务状态事件,DHCPv6 客户端服务已启动
信息,2015/6/10 14:41:13,Microsoft-Windows-Dhcp-Client,50036,服务状态事件,DHCPv4 客户端服务已启动
信息,2015/6/10 14:41:13,Service Control Manager,7036,无,DNS Client 服务处于 正在运行 状态。
信息,2015/6/10 14:41:13,Service Control Manager,7036,无,DHCP Client 服务处于 正在运行 状态。
信息,2015/6/10 14:41:13,Service Control Manager,7036,无,Desktop Window Manager Session Manager 服务处于 正在运行 状态。
