级别,日期和时间,来源,事件 ID,任务类别
信息,2017/2/21 17:29:08,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/21 17:29:08,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/20 17:27:19,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/20 17:27:19,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/20 17:27:18,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/20 17:27:18,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/19 17:27:09,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/19 17:27:09,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/19 17:27:09,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/19 17:27:09,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/18 17:26:36,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/18 17:26:36,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/18 17:26:35,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/18 17:26:35,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/17 17:23:10,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/17 17:23:10,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/17 17:23:10,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/17 17:23:10,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/16 17:18:52,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/16 17:18:52,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/16 17:18:52,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/16 17:18:52,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/15 17:17:58,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/15 17:17:58,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/14 17:15:50,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/14 17:15:50,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/14 17:15:50,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/14 17:15:50,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/13 17:13:07,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/13 17:13:07,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/13 17:13:06,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/13 17:13:06,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/12 17:11:56,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/12 17:11:56,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/12 17:11:56,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/12 17:11:56,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/11 17:09:21,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/11 17:09:21,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/11 17:09:21,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/11 17:09:21,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/10 17:06:13,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/10 17:06:13,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/10 17:06:13,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/10 17:06:13,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/9 17:04:00,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/9 17:04:00,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/9 17:04:00,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/9 17:04:00,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/8 17:00:48,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/8 17:00:48,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/8 17:00:48,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/8 17:00:48,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/7 16:58:25,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
